head,tail,relation
利福喷丁胶囊,利福喷丁,contain
维参锌胶囊,维参锌,contain
葡萄糖酸锌片,葡萄糖酸锌,contain
硫酸亚铁缓释片,硫酸亚铁,contain
交沙霉素片,交沙霉素,contain
十一酸睾酮,十一酸睾酮,contain
交沙霉素片,交沙霉素,contain
依诺沙星胶囊,依诺沙星,contain
尼莫地平胶囊,尼莫地平,contain
利多卡因气雾剂,利多卡因,contain
麦迪霉素胶囊,麦迪霉素,contain
马尿酸乌洛托品片,乌洛托品,contain
麦迪霉素胶囊,麦迪霉素,contain
细辛脑胶囊,细辛脑,contain
曲尼司特片,曲尼司特,contain
盐酸环丙沙星胶囊,环丙沙星,contain
盐酸地匹福林滴眼液,地匹福林,contain
氯碘羟喹乳膏,氯碘羟喹,contain
盐酸环丙沙星眼膏,环丙沙星,contain
利福喷丁胶囊,利福喷丁,contain
盐酸米诺环素片,盐酸米诺环素,contain
麦迪霉素胶囊,麦迪霉素,contain
盐酸帕罗西汀片,盐酸帕罗西汀,contain
盐酸环丙沙星滴耳液,环丙沙星,contain
酮洛芬凝胶,酮洛芬,contain
氧氟沙星滴耳液,氧氟沙星,contain
阿司匹林散,阿司匹林,contain
盐酸伪麻黄碱片,盐酸伪麻黄碱,contain
硝苯地平片,硝苯地平,contain
头孢克洛片,头孢克洛,contain
注射用胶原酶,胶原酶,contain
美扑伪麻片,马来酸氯苯那敏,contain
注射用头孢噻肟钠,头孢噻肟钠,contain
注射用亚锡焦磷酸钠,亚锡焦磷酸钠,contain
卡莫氟片,卡莫氟,contain
注射用氨苄西林钠舒巴坦钠,氨苄西林,contain
盐酸丁卡因片,盐酸丁卡因,contain
低精蛋白锌胰岛素注射液,低精蛋白锌胰岛素,contain
双氢青蒿素片,双氢青蒿素,contain
盐酸普萘洛尔片,盐酸普萘洛尔,contain
头孢羟氨苄颗粒,头孢羟氨苄,contain
注射用亚锡喷替酸,亚锡喷替酸,contain
硝苯地平注射液,硝苯地平,contain
